title,description
"Barry's Bootcamp","Go to barrys.com and sign up for a class at the nearest location",
"Margaret Pace Park","Go to the nearest basketball court and play 3 games of pickup basketball",
"Upper Body","Go to any gym that has at least 8 upper body machines and do 16 reps on each machine taking a 2-minute break between each machine",
"Lower Body","Go to any gym that has at least 8 lower body machines and do 16 reps on each machine taking a 2-minute break between each machine",
"Push-Ups","A basic upper body exercise targeting the chest, shoulders, and triceps. Routine: Get into a plank position with your hands placed slightly wider than shoulder-width apart. Lower your body until your chest nearly touches the floor, then push yourself back up."
"Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Stand with your feet shoulder-width apart, lower your body as if sitting back into a chair, keeping your back straight and knees behind your toes, then return to the starting position."
"Planks","An isometric core exercise that strengthens the abs and back. Routine: Get into a forearm plank position with your elbows directly under your shoulders and your body in a straight line from head to heels. Hold this position for as long as you can."
"Lunges","A lower body exercise focusing on the quads, hamstrings, and glutes. Routine: Step forward with one leg and lower your hips until both knees are bent at a 90-degree angle. Push back up to the starting position and switch legs."
"Burpees","A full-body exercise that combines a squat, push-up, and jump. Routine: Start in a standing position, drop into a squat with your hands on the ground, kick your feet back into a push-up position, perform a push-up, return to the squat position, and jump up explosively."
"Mountain Climbers","A cardiovascular exercise that also strengthens the core and legs. Routine: Start in a plank position and quickly alternate bringing your knees to your chest, as if running in place."
"Dumbbell Rows","An upper body exercise targeting the back and biceps. Routine: Bend over with a dumbbell in each hand, keeping your back straight. Pull the dumbbells to your ribcage, then lower them back down."
"Deadlifts","A compound lift that targets the posterior chain including hamstrings, glutes, and back. Routine: Stand with your feet hip-width apart, grip a barbell with your hands just outside your knees, and lift the bar by extending your hips and knees while keeping your back straight."
"Bicep Curls","An isolation exercise that targets the biceps. Routine: Stand with a dumbbell in each hand, arms fully extended. Curl the weights up towards your shoulders, keeping your elbows close to your body, then lower them back down."
"Tricep Dips","An upper body exercise focusing on the triceps. Routine: Position your hands shoulder-width apart on a stable surface behind you, extend your legs out in front, lower your body by bending your elbows, then push yourself back up."
"Bicycle Crunches","A core exercise that targets the abs and obliques. Routine: Lie on your back with your hands behind your head, bring your knees to your chest, and alternate touching your elbows to the opposite knee in a pedaling motion."
"Jump Rope","A cardiovascular exercise that also improves coordination. Routine: Hold the handles of a jump rope, swing the rope over your head, and jump as it passes under your feet, keeping a steady rhythm."
"Bench Press","A compound upper body exercise that targets the chest, shoulders, and triceps. Routine: Lie on a bench with a barbell in your hands, lower the bar to your chest, and push it back up to the starting position."
"Shoulder Press","An upper body exercise that targets the shoulders and triceps. Routine: Hold a dumbbell in each hand at shoulder height, press the weights overhead until your arms are fully extended, then lower them back down."
"Leg Press","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Sit on a leg press machine with your feet shoulder-width apart, push the platform away by extending your legs, then slowly return to the starting position."
"Pull-Ups","An upper body exercise that targets the back, shoulders, and biceps. Routine: Hang from a pull-up bar with your palms facing away, pull your body up until your chin is above the bar, then lower yourself back down."
"Leg Press","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Sit on a leg press machine with your feet shoulder-width apart, push the platform away by extending your legs, then slowly return to the starting position.",
"Pull-Ups","An upper body exercise that targets the back, shoulders, and biceps. Routine: Hang from a pull-up bar with your palms facing away, pull your body up until your chin is above the bar, then lower yourself back down.",
"Russian Twists","A core exercise that targets the abs and obliques. Routine: Sit on the ground with your knees bent and feet lifted off the ground. Lean back slightly and twist your torso to the right, then to the left to complete one rep.",
"Jump Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Perform a regular squat, but jump up explosively at the end of the movement.",
"High Knees","A cardiovascular exercise that also strengthens the legs. Routine: Run in place while lifting your knees as high as possible with each step.",
"Side Planks","An isometric core exercise that strengthens the obliques and shoulders. Routine: Lie on your side with your legs straight and prop yourself up with one elbow. Hold this position for as long as you can, then switch sides.",
"Chest Flys","An upper body exercise that targets the chest. Routine: Lie on a bench with a dumbbell in each hand. Extend your arms above your chest and slowly lower them to your sides, then bring them back together.",
"Calf Raises","A lower body exercise that targets the calves. Routine: Stand with your feet shoulder-width apart and raise your heels off the ground, then lower them back down.",
"Leg Raises","A core exercise that targets the lower abs. Routine: Lie on your back with your legs straight. Lift your legs up towards the ceiling, then lower them back down.",
"Step-Ups","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Step up onto a bench or platform with one leg, then bring the other leg up to meet it. Step back down and repeat with the other leg.",
"Kettlebell Swings","A full-body exercise that targets the hips, glutes, and shoulders. Routine: Stand with your feet shoulder-width apart and hold a kettlebell with both hands. Swing the kettlebell between your legs, then thrust your hips forward to swing it up to shoulder height.",
"Box Jumps","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Stand in front of a box or platform and jump up onto it, landing with both feet. Step back down and repeat.",
"Wall Sits","An isometric lower body exercise that targets the quads and glutes. Routine: Lean against a wall and slide down until your thighs are parallel to the ground. Hold this position for as long as you can.",
"Bent Over Rows","An upper body exercise that targets the back and biceps. Routine: Bend over with a dumbbell in each hand, keeping your back straight. Pull the dumbbells to your ribcage, then lower them back down.",
"Supermans","A core exercise that targets the lower back. Routine: Lie face down on the ground with your arms extended in front of you. Lift your arms, chest, and legs off the ground as high as you can, then lower them back down.",
"Hip Thrusts","A lower body exercise that targets the glutes and hamstrings. Routine: Sit on the ground with your upper back resting on a bench and a barbell across your hips. Thrust your hips up towards the ceiling, then lower them back down.",
"Tricep Extensions","An upper body exercise that targets the triceps. Routine: Hold a dumbbell in each hand and extend your arms above your head. Lower the dumbbells behind your head, then extend your arms back up.",
"Arnold Press","An upper body exercise that targets the shoulders. Routine: Hold a dumbbell in each hand at shoulder height with your palms facing your body. Press the weights overhead while rotating your palms to face forward, then reverse the motion.",
"Face Pulls","An upper body exercise that targets the rear deltoids and upper back. Routine: Attach a rope to a high pulley and hold it with both hands. Pull the rope towards your face, keeping your elbows high.",
"Russian Twists","A core exercise that targets the abs and obliques. Routine: Sit on the ground with your knees bent and feet lifted off the ground. Lean back slightly and twist your torso to the right, then to the left to complete one rep.",
"Jump Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Perform a regular squat, but jump up explosively at the end of the movement.",
"High Knees","A cardiovascular exercise that also strengthens the legs. Routine: Run in place while lifting your knees as high as possible with each step.",
"Side Planks","An isometric core exercise that strengthens the obliques and shoulders. Routine: Lie on your side with your legs straight and prop yourself up with one elbow. Hold this position for as long as you can, then switch sides.",
"Chest Flys","An upper body exercise that targets the chest. Routine: Lie on a bench with a dumbbell in each hand. Extend your arms above your chest and slowly lower them to your sides, then bring them back together.",
"Calf Raises","A lower body exercise that targets the calves. Routine: Stand with your feet shoulder-width apart and raise your heels off the ground, then lower them back down.",
"Leg Raises","A core exercise that targets the lower abs. Routine: Lie on your back with your legs straight. Lift your legs up towards the ceiling, then lower them back down.",
"Step-Ups","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Step up onto a bench or platform with one leg, then bring the other leg up to meet it. Step back down and repeat with the other leg.",
"Kettlebell Swings","A full-body exercise that targets the hips, glutes, and shoulders. Routine: Stand with your feet shoulder-width apart and hold a kettlebell with both hands. Swing the kettlebell between your legs, then thrust your hips forward to swing it up to shoulder height.",
"Box Jumps","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Stand in front of a box or platform and jump up onto it, landing with both feet. Step back down and repeat.",
"Wall Sits","An isometric lower body exercise that targets the quads and glutes. Routine: Lean against a wall and slide down until your thighs are parallel to the ground. Hold this position for as long as you can.",
"Bent Over Rows","An upper body exercise that targets the back and biceps. Routine: Bend over with a dumbbell in each hand, keeping your back straight. Pull the dumbbells to your ribcage, then lower them back down.",
"Supermans","A core exercise that targets the lower back. Routine: Lie face down on the ground with your arms extended in front of you. Lift your arms, chest, and legs off the ground as high as you can, then lower them back down.",
"Hip Thrusts","A lower body exercise that targets the glutes and hamstrings. Routine: Sit on the ground with your upper back resting on a bench and a barbell across your hips. Thrust your hips up towards the ceiling, then lower them back down.",
"Tricep Extensions","An upper body exercise that targets the triceps. Routine: Hold a dumbbell in each hand and extend your arms above your head. Lower the dumbbells behind your head, then extend your arms back up.",
"Arnold Press","An upper body exercise that targets the shoulders. Routine: Hold a dumbbell in each hand at shoulder height with your palms facing your body. Press the weights overhead while rotating your palms to face forward, then reverse the motion.",
"Face Pulls","An upper body exercise that targets the rear deltoids and upper back. Routine: Attach a rope to a high pulley and hold it with both hands. Pull the rope towards your face, keeping your elbows high.",
"Sledgehammer Swings","A full-body exercise that targets the shoulders, core, and legs. Routine: Hold a sledgehammer with both hands and swing it over your head to strike a tire.",
"Renegade Rows","A full-body exercise that targets the back, shoulders, and core. Routine: In a plank position with a dumbbell in each hand, row one dumbbell to your ribcage, then switch sides.",
"Pistol Squats","A challenging lower body exercise that targets the quads, hamstrings, and glutes. Routine: Stand on one leg with the other leg extended out in front of you. Lower your body into a squat, then push back up to the starting position.",
"Inchworms","A full-body exercise that targets the core, shoulders, and legs. Routine: Stand up tall, then bend over and walk your hands out into a plank position. Walk your feet towards your hands and repeat.",
"Tuck Jumps","A lower body exercise that targets the quads and glutes. Routine: Jump as high as you can, bringing your knees towards your chest, then land softly and repeat.",
"Bear Crawls","A full-body exercise that targets the core, shoulders, and legs. Routine: Crawl forward on your hands and feet, keeping your hips low and back straight.",
"Boxing Punches","A cardiovascular exercise that also strengthens the upper body. Routine: Throw punches in the air or against a bag, focusing on speed and form.",
"Jumping Jacks","A cardiovascular exercise that also strengthens the legs. Routine: Jump to a position with your legs spread wide and your hands touching overhead, then return to the starting position.",
"Skaters","A cardiovascular exercise that also strengthens the legs. Routine: Jump from side to side, landing on one leg and swinging the other behind you, mimicking a skating motion.",
"Clapping Push-Ups","An explosive upper body exercise targeting the chest, shoulders, and triceps. Routine: Perform a push-up with enough force to lift your hands off the ground and clap before landing.",
"Spiderman Push-Ups","A variation of push-ups targeting the chest, triceps, and core. Routine: Perform a push-up while bringing one knee towards your elbow on the same side, then switch sides.",
"Side Lunges","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Step out to the side with one leg and lower your hips, then push back up to the starting position.",
"Single-Leg Deadlifts","A lower body exercise that targets the hamstrings and glutes. Routine: Stand on one leg and hinge at the hips to lower a dumbbell towards the ground, then return to standing.",
"Reverse Lunges","A lower body exercise focusing on the quads, hamstrings, and glutes. Routine: Step back with one leg and lower your hips until both knees are bent at a 90-degree angle. Push back up to the starting position and switch legs.",
"Tricep Kickbacks","An upper body exercise targeting the triceps. Routine: Bend over with a dumbbell in each hand and extend your arms back, then return to the starting position.",
"Sumo Squats","A lower body exercise targeting the inner thighs, quads, and glutes. Routine: Stand with your feet wider than shoulder-width apart and your toes turned out. Lower your body into a squat, then push back up to the starting position.",
"Overhead Press","An upper body exercise targeting the shoulders and triceps. Routine: Hold a barbell or dumbbells at shoulder height and press the weight overhead, then lower it back down.",
"Leg Curls","A lower body exercise targeting the hamstrings. Routine: Lie face down on a leg curl machine and curl your legs up towards your buttocks.",
"Hollow Holds","A core exercise that targets the abs. Routine: Lie on your back and lift your arms and legs off the ground, holding a hollow position.",
"Lateral Raises","An upper body exercise that targets the shoulders. Routine: Stand with a dumbbell in each hand at your sides, lift the weights out to the sides until they reach shoulder height, then lower them back down.",
"Inverted Rows","An upper body exercise that targets the back and biceps. Routine: Lie under a bar and pull your chest up to the bar, then lower back down.",
"Diamond Push-Ups","A variation of push-ups that targets the triceps. Routine: Perform a push-up with your hands close together, forming a diamond shape with your thumbs and index fingers.",
"Boxing Punches","A cardiovascular exercise that also strengthens the upper body. Routine: Throw punches in the air or against a bag, focusing on speed and form.",
"Donkey Kicks","A lower body exercise that targets the glutes. Routine: Start on all fours and kick one leg back and up, then lower it back down and switch sides.",
"Mountain Climber Twists","A variation of mountain climbers that targets the obliques. Routine: In a plank position, bring your knee towards the opposite elbow, alternating sides.",
"Cable Pull-Throughs","A lower body exercise that targets the glutes and hamstrings. Routine: Stand with your back to a cable machine and pull the handle through your legs as you hinge at the hips.",
"Weighted Step-Ups","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Hold a dumbbell in each hand and step up onto a bench or platform, then step back down.",
"Kettlebell Clean and Press","A full-body exercise that targets the shoulders, back, and legs. Routine: Clean a kettlebell from the ground to your shoulder, then press it overhead.",
"Lying Leg Curls","A lower body exercise that targets the hamstrings. Routine: Lie face down on a leg curl machine and curl your legs up towards your buttocks.",
"Overhead Tricep Extensions","An upper body exercise that targets the triceps. Routine: Hold a dumbbell or barbell overhead and lower it behind your head, then extend your arms back up.",
"Banded Pull-Aparts","An upper body exercise that targets the rear deltoids and upper back. Routine: Hold a resistance band with both hands and pull it apart, keeping your arms straight.",
"Hip Circles","A lower body exercise that targets the hips and glutes. Routine: Stand on one leg and move the other leg in a circular motion, then switch sides.",
"Renegade Push-Ups","A full-body exercise that combines push-ups and rows. Routine: In a plank position with a dumbbell in each hand, perform a push-up, then row one dumbbell up, alternating sides.",
"Hanging Leg Raises","A core exercise that targets the abs. Routine: Hang from a bar and lift your legs up towards your chest, then lower them back down.",
"Skaters","A cardiovascular exercise that also strengthens the legs. Routine: Jump from side to side, landing on one leg and swinging the other behind you, mimicking a skating motion.",
"TRX Chest Press","An upper body exercise that targets the chest, shoulders, and triceps. Routine: Using TRX straps, perform a chest press by lowering your chest towards the ground and pressing back up.",
"Seated Calf Raises","A lower body exercise that targets the calves. Routine: Sit on a calf raise machine and lift your heels up, then lower them back down.",
"Bulgarian Split Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Place one foot behind you on a bench and perform a squat with the other leg.",
"Single-Arm Dumbbell Press","An upper body exercise that targets the shoulders. Routine: Hold a dumbbell in one hand at shoulder height and press it overhead, then lower it back down.",
"Jackknife Sit-Ups","A core exercise that targets the abs. Routine: Lie on your back with your legs straight and arms extended overhead. Lift your legs and upper body simultaneously to touch your toes, then lower back down.",
"Sled Pushes","A full-body exercise that targets the legs, core, and shoulders. Routine: Push a weighted sled as fast as you can for a set distance.",
"Ball Slams","A full-body exercise that targets the shoulders, core, and legs. Routine: Lift a medicine ball overhead and slam it down to the ground as hard as you can.",
"Kettlebell Goblet Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Hold a kettlebell at your chest and perform a squat.",
"Glute Bridges","A lower body exercise that targets the glutes and hamstrings. Routine: Lie on your back with your knees bent and feet flat on the ground. Lift your hips up towards the ceiling, then lower them back down.",
"Suitcase Carries","A core exercise that targets the obliques. Routine: Hold a heavy weight in one hand and walk a set distance, then switch hands.",
"Medicine Ball Chest Passes","An upper body exercise that targets the chest and shoulders. Routine: Hold a medicine ball at your chest and explosively pass it to a partner or against a wall.",
"Farmer's Walks","A full-body exercise that targets the grip, shoulders, and legs. Routine: Hold a heavy weight in each hand and walk a set distance.",
"Kettlebell Deadlifts","A lower body exercise that targets the hamstrings, glutes, and back. Routine: Stand with your feet shoulder-width apart and a kettlebell between your feet. Hinge at the hips to lift the kettlebell, then lower it back down.",
"Bosu Ball Push-Ups","A variation of push-ups that targets the chest, shoulders, and core. Routine: Perform a push-up with your hands on a Bosu ball, adding instability.",
"Kettlebell Windmills","A full-body exercise that targets the core and shoulders. Routine: Hold a kettlebell overhead and hinge at the hips to lower your opposite hand to the ground, then return to standing.",
"Plyo Push-Ups","An explosive upper body exercise targeting the chest, shoulders, and triceps. Routine: Perform a push-up with enough force to lift your hands off the ground and clap before landing.",
"Resistance Band Rows","An upper body exercise that targets the back and biceps. Routine: Attach a resistance band to a stable object and row the band towards your chest.",
"Sumo Deadlifts","A lower body exercise that targets the hamstrings, glutes, and back. Routine: Stand with your feet wide apart and grip a barbell between your legs. Lift the bar by extending your hips and knees.",
"Tire Flips","A full-body exercise that targets the legs, core, and shoulders. Routine: Squat down and grip a large tire. Lift the tire by extending your hips and knees, then flip it over.",
"Stability Ball Rollouts","A core exercise that targets the abs. Routine: Kneel in front of a stability ball and place your hands on top. Roll the ball forward as far as you can while keeping your core engaged, then roll it back.",
"Walking Lunges","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Step forward with one leg and lower your hips until both knees are bent at a 90-degree angle. Push back up to the starting position and switch legs."
"TRX Hamstring Curls","A lower body exercise that targets the hamstrings. Routine: Lie on your back with your heels in TRX straps. Lift your hips and curl your heels towards your buttocks, then extend your legs back out.",
"Dumbbell Pullover","An upper body exercise that targets the chest and back. Routine: Lie on a bench with a dumbbell in both hands. Lower the weight behind your head, then pull it back over your chest.",
"Plyometric Lunges","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Perform a lunge and jump up explosively, switching legs in the air and landing in a lunge on the other side.",
"Lateral Box Jumps","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Stand beside a box or platform and jump laterally onto it, landing with both feet. Step back down and repeat.",
"Kettlebell High Pulls","A full-body exercise that targets the shoulders and back. Routine: Stand with your feet shoulder-width apart and a kettlebell between your feet. Pull the kettlebell up to chest height, then lower it back down.",
"Crab Walks","A full-body exercise that targets the shoulders, core, and legs. Routine: Sit on the ground with your hands behind you and feet flat on the floor. Lift your hips and walk forward and backward like a crab.",
"Band-Assisted Pull-Ups","An upper body exercise that targets the back and biceps. Routine: Loop a resistance band around a pull-up bar and place your feet in the band. Perform a pull-up with the band's assistance.",
"Weighted Russian Twists","A core exercise that targets the abs and obliques. Routine: Sit on the ground with your knees bent and feet lifted off the ground. Hold a weight at your chest and twist your torso to the right, then to the left.",
"Banded Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Place a resistance band around your thighs and perform a squat.",
"Stability Ball Leg Curls","A lower body exercise that targets the hamstrings. Routine: Lie on your back with your heels on a stability ball. Lift your hips and curl the ball towards your buttocks, then extend your legs back out.",
"Prisoner Squats","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Perform a squat with your hands behind your head, elbows out to the sides.",
"Lateral Raises","An upper body exercise that targets the shoulders. Routine: Stand with a dumbbell in each hand at your sides, lift the weights out to the sides until they reach shoulder height, then lower them back down.",
"Incline Bench Press","An upper body exercise that targets the chest, shoulders, and triceps. Routine: Lie on an incline bench with a barbell in your hands, lower the bar to your chest, and press it back up.",
"Side Lunges","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Step out to the side with one leg and lower your hips, then push back up to the starting position.",
"Hanging Knee Raises","A core exercise that targets the abs. Routine: Hang from a bar and lift your knees up towards your chest, then lower them back down.",
"Plank to Push-Up","A core and upper body exercise. Routine: Start in a forearm plank position, then push up into a full plank position one arm at a time, and lower back down.",
"Bodyweight Rows","An upper body exercise that targets the back and biceps. Routine: Lie under a bar or suspension trainer and pull your chest up to the bar, then lower back down.",
"Scissor Kicks","A core exercise that targets the lower abs. Routine: Lie on your back with your legs extended. Lift your legs slightly off the ground and cross them over each other in a scissor motion.",
"Single-Arm Overhead Press","An upper body exercise that targets the shoulders. Routine: Hold a dumbbell in one hand at shoulder height and press it overhead, then lower it back down.",
"Banded Glute Bridges","A lower body exercise that targets the glutes and hamstrings. Routine: Place a resistance band around your thighs and perform a glute bridge.",
"Cable Tricep Pushdowns","An upper body exercise that targets the triceps. Routine: Attach a rope to a high pulley and hold it with both hands. Push the rope down towards your thighs, then let it back up.",
"Decline Push-Ups","An upper body exercise that targets the chest, shoulders, and triceps. Routine: Perform a push-up with your feet elevated on a bench or platform.",
"Cable Face Pulls","An upper body exercise that targets the rear deltoids and upper back. Routine: Attach a rope to a high pulley and pull it towards your face, keeping your elbows high.",
"Lateral Band Walks","A lower body exercise that targets the glutes. Routine: Place a resistance band around your thighs and walk sideways, keeping tension on the band.",
"Single-Leg Calf Raises","A lower body exercise that targets the calves. Routine: Stand on one leg and raise your heel off the ground, then lower it back down.",
"Russian Twists with Medicine Ball","A core exercise that targets the abs and obliques. Routine: Sit on the ground with your knees bent and feet lifted off the ground. Hold a medicine ball at your chest and twist your torso to the right, then to the left.",
"Weighted Step-Ups with Dumbbells","A lower body exercise that targets the quads, hamstrings, and glutes. Routine: Hold a dumbbell in each hand and step up onto a bench or platform, then step back down.",
"Pistol Squats to Box","A challenging lower body exercise that targets the quads, hamstrings, and glutes. Routine: Perform a squat on one leg while keeping the other leg extended out in front of you, using a box for support.",
"Chest Flys on Stability Ball","An upper body exercise that targets the chest. Routine: Lie on a stability ball with a dumbbell in each hand. Extend your arms above your chest and slowly lower them to your sides, then bring them back together.",
"Reverse Crunches","A core exercise that targets the lower abs. Routine: Lie on your back with your knees bent and feet flat on the ground. Lift your hips off the ground and curl your knees towards your chest.",
"Jumping Jacks","A cardiovascular exercise that also strengthens the legs. Routine: Jump to a position with your legs spread wide and your hands touching overhead, then return to the starting position.",
"Banded Good Mornings","A lower body exercise that targets the hamstrings and glutes. Routine: Place a resistance band around your neck and under your feet. Hinge at the hips to lower your torso, then return to standing.",
"Kettlebell Squat and Press","A full-body exercise that targets the legs, shoulders, and core. Routine: Hold a kettlebell at your chest, perform a squat, and press the kettlebell overhead as you stand up.",
"Plank with Shoulder Taps","A core and upper body exercise. Routine: In a plank position, lift one hand to tap the opposite shoulder, alternating sides."